,GeneID,logfc_Native_CM_Ventricular,logfc_Native_CM_Atrial,logfc_Immature_CM,description
213,BMPER,-3.8452754,-4.4495807,2.5453527,BMP binding endothelial regulator [Source:HGNC Symbol;Acc:HGNC:24154]
214,FOSB,-3.8380523,-4.119742,1.6632172,"FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]"
215,APLNR,-3.8149064,-5.8675957,4.9094253,apelin receptor [Source:HGNC Symbol;Acc:HGNC:339]
216,SEPTIN7,-3.813889,-3.440137,1.5835727,septin 7 [Source:HGNC Symbol;Acc:HGNC:1717]
217,PCDH17,-3.8127337,-2.252706,2.2426713,protocadherin 17 [Source:HGNC Symbol;Acc:HGNC:14267]
221,SPDL1,-3.7984738,-2.9720683,1.5804062,spindle apparatus coiled-coil protein 1 [Source:HGNC Symbol;Acc:HGNC:26010]
222,HAPLN1,-3.771482,-4.4657273,4.1905866,hyaluronan and proteoglycan link protein 1 [Source:HGNC Symbol;Acc:HGNC:2380]
223,FHL2,3.756458,1.7311655,-3.1970649,four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]
224,DTL,-3.7446737,-3.5253205,1.6099983,denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288]
225,GTSE1,-3.7021215,-2.760252,1.817919,G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]
226,EDN1,-3.7002103,-5.814013,2.5363069,endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]
228,MGP,-3.6726923,-4.074604,4.563749,matrix Gla protein [Source:HGNC Symbol;Acc:HGNC:7060]
229,BAALC,-3.6726413,-1.6588085,2.8456507,BAALC binder of MAP3K1 and KLF4 [Source:HGNC Symbol;Acc:HGNC:14333]
233,TFPI,-3.5967686,-3.5168078,3.45314,tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]
234,BGN,-3.5882328,-4.459767,4.1915965,biglycan [Source:HGNC Symbol;Acc:HGNC:1044]
235,SERPINE2,-3.5842903,-5.550438,3.6927598,serpin family E member 2 [Source:HGNC Symbol;Acc:HGNC:8951]
237,EIF2AK3-DT,-3.5500262,-3.8321724,1.9888556,EIF2AK3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:54066]
238,CD9,-3.525231,-3.578819,2.3150184,CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]
239,MT1F,-3.5181477,-2.588037,1.9908993,metallothionein 1F [Source:HGNC Symbol;Acc:HGNC:7398]
240,NR4A3,3.4766366,3.1998239,-1.6017674,nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]
241,PTGIS,-3.4655404,-3.0560048,3.9637926,prostaglandin I2 synthase [Source:HGNC Symbol;Acc:HGNC:9603]
243,OGFRL1,-3.4490438,-2.3528264,1.5213017,opioid growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:21378]
244,CCL2,-3.422937,-3.6417663,2.9216888,C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]
245,LBR,-3.4160712,-1.7539524,1.629953,lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518]
248,RAB3B,-3.3964121,-2.4129274,1.788735,"RAB3B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9778]"
249,ORC6,-3.378025,-2.5806074,1.8504055,origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]
250,PCOLCE,-3.3692346,-3.6307185,2.527572,procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]
252,CPNE5,3.3373725,4.7178636,-2.2693224,copine 5 [Source:HGNC Symbol;Acc:HGNC:2318]
253,KIF20B,-3.3332422,-3.1344998,1.5779377,kinesin family member 20B [Source:HGNC Symbol;Acc:HGNC:7212]
254,LAMA1,-3.3106098,-2.8424857,1.946671,laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]
255,ITGA1,-3.2771952,-3.205837,2.362535,integrin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6134]
257,COL6A3,-3.2704644,-3.713183,4.42003,collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]
258,MCM7,-3.2616334,-3.0308654,1.6784732,minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]
261,COL6A2,-3.2363427,-4.2557106,2.5795848,collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]
263,SYNPO2,3.2243764,2.4818609,-1.6024146,synaptopodin 2 [Source:HGNC Symbol;Acc:HGNC:17732]
264,PLAC9,-3.2201192,-4.4567733,3.4489267,placenta associated 9 [Source:HGNC Symbol;Acc:HGNC:19255]
265,TGFBI,-3.2145875,-3.5552456,4.3183312,transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]
266,LRP2,-3.2024958,-2.339914,3.1873505,LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694]
269,CCDC183,-3.1341863,-2.4199517,1.6885086,coiled-coil domain containing 183 [Source:HGNC Symbol;Acc:HGNC:28236]
270,RGCC,-3.1027434,-3.040603,2.3103995,regulator of cell cycle [Source:HGNC Symbol;Acc:HGNC:20369]
272,SP6,-3.0908728,-3.4712281,1.7021146,Sp6 transcription factor [Source:HGNC Symbol;Acc:HGNC:14530]
274,GBP2,-3.0430071,-2.9824164,2.6032517,guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]
275,PENK,-3.0381486,-2.2660003,2.8894594,proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831]
276,PTPRZ1,-3.0270102,-2.4014902,2.759503,protein tyrosine phosphatase receptor type Z1 [Source:HGNC Symbol;Acc:HGNC:9685]
278,NTS,-3.0082402,-2.5309396,4.737803,neurotensin [Source:HGNC Symbol;Acc:HGNC:8038]
280,EPHB2,-2.9846988,-1.7576517,1.9794338,EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]
281,PARPBP,-2.9845395,-2.1001043,2.0607285,PARP1 binding protein [Source:HGNC Symbol;Acc:HGNC:26074]
